


2022-06-23 17:01:35 [USER] [SYSTEM] Core Program Start
2022-06-23 17:01:36 [USER] [BARCODE] UNKNOWN BARCODE READ : 
2022-06-23 17:01:36 [USER] [SYSTEM] PLATFORM PHYSICALLY OPENED NOW
2022-06-23 17:01:38 [USER] [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-06-23 17:01:38 [USER] [ICE] SERIAL ttyS6 OPEN FAIL
2022-06-23 17:01:38 [USER] [ICE] SERIAL ttyS7 OPEN FAIL
2022-06-23 17:01:40 [USER] [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-06-23 17:01:40 [USER] [ICE] SERIAL ttyS6 OPEN FAIL
2022-06-23 17:01:40 [USER] [ICE] SERIAL ttyS7 OPEN FAIL
2022-06-23 17:01:42 [USER] [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-06-23 17:01:42 [USER] [ICE] SERIAL ttyS6 OPEN FAIL
2022-06-23 17:01:42 [USER] [ICE] SERIAL ttyS7 OPEN FAIL
2022-06-23 17:01:44 [USER] [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-06-23 17:01:44 [USER] [ICE] SERIAL ttyS6 OPEN FAIL
2022-06-23 17:01:44 [USER] [ICE] SERIAL ttyS7 OPEN FAIL



2022-06-23 17:04:11 [USER] [SYSTEM] Core Program Start
2022-06-23 17:04:12 [USER] [BARCODE] UNKNOWN BARCODE READ : 
2022-06-23 17:04:12 [USER] [SYSTEM] PLATFORM PHYSICALLY OPENED NOW
2022-06-23 17:04:13 [USER] [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-06-23 17:04:13 [USER] [ICE] SERIAL ttyS6 OPEN FAIL
2022-06-23 17:04:13 [USER] [ICE] SERIAL ttyS7 OPEN FAIL
2022-06-23 17:04:16 [USER] [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-06-23 17:04:16 [USER] [ICE] SERIAL ttyS6 OPEN FAIL
2022-06-23 17:04:16 [USER] [ICE] SERIAL ttyS7 OPEN FAIL



2022-06-23 17:04:55 [USER] [SYSTEM] Core Program Start
2022-06-23 17:04:55 [USER] [BARCODE] UNKNOWN BARCODE READ : 
2022-06-23 17:04:55 [USER] [SYSTEM] PLATFORM PHYSICALLY OPENED NOW
2022-06-23 17:04:57 [USER] [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-06-23 17:04:57 [USER] [ICE] SERIAL ttyS6 OPEN FAIL
2022-06-23 17:04:57 [USER] [ICE] SERIAL ttyS7 OPEN FAIL
2022-06-23 17:04:59 [USER] [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-06-23 17:05:00 [USER] [ICE] SERIAL ttyS6 OPEN FAIL
2022-06-23 17:05:00 [USER] [ICE] SERIAL ttyS7 OPEN FAIL
2022-06-23 17:05:02 [USER] [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-06-23 17:05:02 [USER] [ICE] SERIAL ttyS6 OPEN FAIL
2022-06-23 17:05:02 [USER] [ICE] SERIAL ttyS7 OPEN FAIL
2022-06-23 17:05:05 [USER] [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-06-23 17:05:06 [USER] [ICE] SERIAL ttyS6 OPEN FAIL
2022-06-23 17:05:06 [USER] [ICE] SERIAL ttyS7 OPEN FAIL
2022-06-23 17:05:08 [USER] [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-06-23 17:05:09 [USER] [ICE] SERIAL ttyS6 OPEN FAIL
2022-06-23 17:05:09 [USER] [ICE] SERIAL ttyS7 OPEN FAIL
2022-06-23 17:05:11 [USER] [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-06-23 17:05:13 [USER] [ICE] SERIAL ttyS6 OPEN FAIL
2022-06-23 17:05:13 [USER] [ICE] SERIAL ttyS7 OPEN FAIL
2022-06-23 17:05:14 [USER] [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-06-23 17:05:16 [USER] [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-06-23 17:05:16 [USER] [ICE] SERIAL ttyS6 OPEN FAIL
2022-06-23 17:05:16 [USER] [ICE] SERIAL ttyS7 OPEN FAIL
2022-06-23 17:05:19 [USER] [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-06-23 17:05:19 [USER] [ICE] SERIAL ttyS6 OPEN FAIL
2022-06-23 17:05:19 [USER] [ICE] SERIAL ttyS7 OPEN FAIL
2022-06-23 17:05:21 [USER] [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-06-23 17:05:21 [USER] [ICE] SERIAL ttyS6 OPEN FAIL
2022-06-23 17:05:21 [USER] [ICE] SERIAL ttyS7 OPEN FAIL



2022-06-23 17:05:38 [USER] [SYSTEM] Core Program Start
2022-06-23 17:05:39 [USER] [SYSTEM] PLATFORM PHYSICALLY OPENED NOW
2022-06-23 17:05:41 [USER] [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-06-23 17:05:41 [USER] [ICE] SERIAL ttyS6 OPEN FAIL
2022-06-23 17:05:41 [USER] [ICE] SERIAL ttyS7 OPEN FAIL
2022-06-23 17:05:43 [USER] [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-06-23 17:05:44 [USER] [ICE] SERIAL ttyS6 OPEN FAIL
2022-06-23 17:05:44 [USER] [ICE] SERIAL ttyS7 OPEN FAIL
2022-06-23 17:05:46 [USER] [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-06-23 17:05:46 [USER] [ICE] SERIAL ttyS6 OPEN FAIL
2022-06-23 17:05:46 [USER] [ICE] SERIAL ttyS7 OPEN FAIL
2022-06-23 17:05:48 [USER] [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-06-23 17:05:48 [USER] [ICE] SERIAL ttyS6 OPEN FAIL
2022-06-23 17:05:48 [USER] [ICE] SERIAL ttyS7 OPEN FAIL
2022-06-23 17:05:50 [USER] [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-06-23 17:05:50 [USER] [ICE] SERIAL ttyS6 OPEN FAIL
2022-06-23 17:05:50 [USER] [ICE] SERIAL ttyS7 OPEN FAIL
2022-06-23 17:05:52 [USER] [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-06-23 17:05:53 [USER] [ICE] SERIAL ttyS6 OPEN FAIL
2022-06-23 17:05:53 [USER] [ICE] SERIAL ttyS7 OPEN FAIL
2022-06-23 17:05:54 [USER] [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-06-23 17:05:55 [USER] [ICE] SERIAL ttyS6 OPEN FAIL
2022-06-23 17:05:55 [USER] [ICE] SERIAL ttyS7 OPEN FAIL
2022-06-23 17:05:57 [USER] [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-06-23 17:05:57 [USER] [ICE] SERIAL ttyS6 OPEN FAIL
2022-06-23 17:05:57 [USER] [ICE] SERIAL ttyS7 OPEN FAIL
2022-06-23 17:05:59 [USER] [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-06-23 17:05:59 [USER] [ICE] SERIAL ttyS6 OPEN FAIL
2022-06-23 17:05:59 [USER] [ICE] SERIAL ttyS7 OPEN FAIL
2022-06-23 17:06:01 [USER] [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-06-23 17:06:02 [USER] [ICE] SERIAL ttyS6 OPEN FAIL
2022-06-23 17:06:02 [USER] [ICE] SERIAL ttyS7 OPEN FAIL
2022-06-23 17:06:03 [USER] [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-06-23 17:06:04 [USER] [ICE] SERIAL ttyS6 OPEN FAIL
2022-06-23 17:06:04 [USER] [ICE] SERIAL ttyS7 OPEN FAIL
2022-06-23 17:06:06 [USER] [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-06-23 17:06:06 [USER] [ICE] SERIAL ttyS6 OPEN FAIL
2022-06-23 17:06:06 [USER] [ICE] SERIAL ttyS7 OPEN FAIL
2022-06-23 17:06:08 [USER] [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-06-23 17:06:08 [USER] [ICE] SERIAL ttyS6 OPEN FAIL
2022-06-23 17:06:08 [USER] [ICE] SERIAL ttyS7 OPEN FAIL
2022-06-23 17:06:10 [USER] [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-06-23 17:06:11 [USER] [ICE] SERIAL ttyS6 OPEN FAIL
2022-06-23 17:06:11 [USER] [ICE] SERIAL ttyS7 OPEN FAIL
2022-06-23 17:06:12 [USER] [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-06-23 17:06:13 [USER] [ICE] SERIAL ttyS6 OPEN FAIL
2022-06-23 17:06:13 [USER] [ICE] SERIAL ttyS7 OPEN FAIL
2022-06-23 17:06:15 [USER] [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-06-23 17:06:15 [USER] [ICE] SERIAL ttyS6 OPEN FAIL
2022-06-23 17:06:15 [USER] [ICE] SERIAL ttyS7 OPEN FAIL
2022-06-23 17:06:17 [USER] [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-06-23 17:06:17 [USER] [ICE] SERIAL ttyS6 OPEN FAIL
2022-06-23 17:06:17 [USER] [ICE] SERIAL ttyS7 OPEN FAIL
2022-06-23 17:06:19 [USER] [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-06-23 17:06:20 [USER] [ICE] SERIAL ttyS6 OPEN FAIL
2022-06-23 17:06:20 [USER] [ICE] SERIAL ttyS7 OPEN FAIL
2022-06-23 17:06:21 [USER] [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-06-23 17:06:22 [USER] [ICE] SERIAL ttyS6 OPEN FAIL
2022-06-23 17:06:22 [USER] [ICE] SERIAL ttyS7 OPEN FAIL
2022-06-23 17:06:24 [USER] [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-06-23 17:06:24 [USER] [ICE] SERIAL ttyS6 OPEN FAIL
2022-06-23 17:06:24 [USER] [ICE] SERIAL ttyS7 OPEN FAIL
2022-06-23 17:06:26 [USER] [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-06-23 17:06:26 [USER] [ICE] SERIAL ttyS6 OPEN FAIL
2022-06-23 17:06:26 [USER] [ICE] SERIAL ttyS7 OPEN FAIL
2022-06-23 17:06:28 [USER] [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-06-23 17:06:28 [USER] [ICE] SERIAL ttyS6 OPEN FAIL
2022-06-23 17:06:28 [USER] [ICE] SERIAL ttyS7 OPEN FAIL
2022-06-23 17:06:30 [USER] [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-06-23 17:06:31 [USER] [ICE] SERIAL ttyS6 OPEN FAIL
2022-06-23 17:06:31 [USER] [ICE] SERIAL ttyS7 OPEN FAIL
2022-06-23 17:06:32 [USER] [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-06-23 17:06:33 [USER] [ICE] SERIAL ttyS6 OPEN FAIL
2022-06-23 17:06:33 [USER] [ICE] SERIAL ttyS7 OPEN FAIL
2022-06-23 17:06:35 [USER] [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-06-23 17:06:35 [USER] [ICE] SERIAL ttyS6 OPEN FAIL
2022-06-23 17:06:35 [USER] [ICE] SERIAL ttyS7 OPEN FAIL
