


2022-08-18 14:18:29 [SYSTEM] Core Program Start
2022-08-18 14:18:30 [ICE] ERROR : DISCONNECTED 1
2022-08-18 14:18:30 [ICE] ERROR : DISCONNECTED 2
2022-08-18 14:18:30 [ROBOT] ERROR : DISCONNECTED
2022-08-18 14:18:30 [SYSTEM] PLATFORM PHYSICALLY OPENED NOW
2022-08-18 14:18:31 [ICE] SERIAL ttyS6 OPEN FAIL
2022-08-18 14:18:31 [ICE] SERIAL ttyS7 OPEN FAIL
2022-08-18 14:18:31 [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-08-18 14:18:34 [ICE] SERIAL ttyS6 OPEN FAIL
2022-08-18 14:18:34 [ICE] SERIAL ttyS7 OPEN FAIL
2022-08-18 14:18:34 [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-08-18 14:18:36 [ICE] SERIAL ttyS6 OPEN FAIL
2022-08-18 14:18:36 [ICE] SERIAL ttyS7 OPEN FAIL
2022-08-18 14:18:36 [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-08-18 14:18:38 [ICE] SERIAL ttyS6 OPEN FAIL
2022-08-18 14:18:38 [ICE] SERIAL ttyS7 OPEN FAIL
2022-08-18 14:18:38 [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-08-18 14:18:40 [ICE] SERIAL ttyS6 OPEN FAIL
2022-08-18 14:18:40 [ICE] SERIAL ttyS7 OPEN FAIL
2022-08-18 14:18:40 [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-08-18 14:18:43 [ICE] SERIAL ttyS6 OPEN FAIL
2022-08-18 14:18:43 [ICE] SERIAL ttyS7 OPEN FAIL
2022-08-18 14:18:43 [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-08-18 14:18:45 [ICE] SERIAL ttyS6 OPEN FAIL
2022-08-18 14:18:45 [ICE] SERIAL ttyS7 OPEN FAIL
2022-08-18 14:18:45 [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-08-18 14:18:47 [ICE] SERIAL ttyS6 OPEN FAIL
2022-08-18 14:18:47 [ICE] SERIAL ttyS7 OPEN FAIL
2022-08-18 14:18:47 [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-08-18 14:18:49 [ICE] SERIAL ttyS6 OPEN FAIL
2022-08-18 14:18:49 [ICE] SERIAL ttyS7 OPEN FAIL
2022-08-18 14:18:49 [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-08-18 14:18:52 [ICE] SERIAL ttyS6 OPEN FAIL
2022-08-18 14:18:52 [ICE] SERIAL ttyS7 OPEN FAIL
2022-08-18 14:18:52 [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-08-18 14:18:54 [ICE] SERIAL ttyS6 OPEN FAIL
