


2023-08-31 16:37:54 [SYSTEM] Core Program Start
2023-08-31 16:37:54 [ROBOT] ERROR : DISCONNECTED
2023-08-31 16:37:54 [ICE] ERROR : DISCONNECTED 1
2023-08-31 16:37:54 [ICE] ERROR : DISCONNECTED 2
2023-08-31 16:37:54 [SYSTEM] PLATFORM PHYSICALLY OPENED NOW
2023-08-31 16:37:56 [ICE] SERIAL COM3 OPEN FAIL
2023-08-31 16:37:56 [ICE] SERIAL COM4 OPEN FAIL
2023-08-31 16:37:56 [BARCODE] SERIAL COM1 OPEN FAIL
2023-08-31 16:37:57 [USER INPUT] UI : UNLOCK
2023-08-31 16:37:58 [ICE] SERIAL COM3 OPEN FAIL
2023-08-31 16:37:58 [ICE] SERIAL COM4 OPEN FAIL
2023-08-31 16:37:58 [BARCODE] SERIAL COM1 OPEN FAIL
2023-08-31 16:38:00 [ICE] SERIAL COM3 OPEN FAIL
2023-08-31 16:38:00 [ICE] SERIAL COM4 OPEN FAIL
2023-08-31 16:38:01 [BARCODE] SERIAL COM1 OPEN FAIL
2023-08-31 16:38:03 [ICE] SERIAL COM3 OPEN FAIL
2023-08-31 16:38:03 [ICE] SERIAL COM4 OPEN FAIL
2023-08-31 16:38:03 [BARCODE] SERIAL COM1 OPEN FAIL
2023-08-31 16:38:05 [ICE] SERIAL COM3 OPEN FAIL
2023-08-31 16:38:05 [ICE] SERIAL COM4 OPEN FAIL
2023-08-31 16:38:05 [BARCODE] SERIAL COM1 OPEN FAIL
2023-08-31 16:38:07 [ICE] SERIAL COM3 OPEN FAIL
2023-08-31 16:38:07 [ICE] SERIAL COM4 OPEN FAIL
2023-08-31 16:38:07 [BARCODE] SERIAL COM1 OPEN FAIL
2023-08-31 16:38:09 [ICE] SERIAL COM3 OPEN FAIL
2023-08-31 16:38:09 [ICE] SERIAL COM4 OPEN FAIL
2023-08-31 16:38:09 [BARCODE] SERIAL COM1 OPEN FAIL
2023-08-31 16:38:11 [ICE] SERIAL COM3 OPEN FAIL
2023-08-31 16:38:11 [ICE] SERIAL COM4 OPEN FAIL
2023-08-31 16:38:12 [BARCODE] SERIAL COM1 OPEN FAIL
2023-08-31 16:38:14 [ICE] SERIAL COM3 OPEN FAIL
2023-08-31 16:38:14 [ICE] SERIAL COM4 OPEN FAIL
2023-08-31 16:38:14 [BARCODE] SERIAL COM1 OPEN FAIL
2023-08-31 16:38:16 [ICE] SERIAL COM3 OPEN FAIL
2023-08-31 16:38:16 [ICE] SERIAL COM4 OPEN FAIL
2023-08-31 16:38:16 [BARCODE] SERIAL COM1 OPEN FAIL
2023-08-31 16:38:16 [USER INPUT] EXIT : TERMINATE PROGRAM



2023-08-31 18:12:08 [SYSTEM] Core Program Start
2023-08-31 18:12:08 [ROBOT] ERROR : DISCONNECTED
2023-08-31 18:12:08 [ICE] ERROR : DISCONNECTED 1
2023-08-31 18:12:08 [ICE] ERROR : DISCONNECTED 2
2023-08-31 18:12:08 [SYSTEM] PLATFORM PHYSICALLY OPENED NOW
2023-08-31 18:12:09 [USER INPUT] UI : UNLOCK
2023-08-31 18:12:10 [ICE] SERIAL COM3 OPEN FAIL
2023-08-31 18:12:10 [ICE] SERIAL COM4 OPEN FAIL
2023-08-31 18:12:10 [BARCODE] SERIAL COM1 OPEN FAIL
2023-08-31 18:12:12 [ICE] SERIAL COM3 OPEN FAIL
2023-08-31 18:12:12 [ICE] SERIAL COM4 OPEN FAIL
2023-08-31 18:12:12 [BARCODE] SERIAL COM1 OPEN FAIL
2023-08-31 18:12:14 [ICE] SERIAL COM3 OPEN FAIL
2023-08-31 18:12:14 [ICE] SERIAL COM4 OPEN FAIL
2023-08-31 18:12:15 [BARCODE] SERIAL COM1 OPEN FAIL
2023-08-31 18:12:17 [ICE] SERIAL COM3 OPEN FAIL
2023-08-31 18:12:17 [ICE] SERIAL COM4 OPEN FAIL
2023-08-31 18:12:17 [BARCODE] SERIAL COM1 OPEN FAIL
2023-08-31 18:12:19 [ICE] SERIAL COM3 OPEN FAIL
2023-08-31 18:12:19 [ICE] SERIAL COM4 OPEN FAIL
2023-08-31 18:12:19 [BARCODE] SERIAL COM1 OPEN FAIL
2023-08-31 18:12:21 [ICE] SERIAL COM3 OPEN FAIL
2023-08-31 18:12:21 [ICE] SERIAL COM4 OPEN FAIL
2023-08-31 18:12:21 [BARCODE] SERIAL COM1 OPEN FAIL
2023-08-31 18:12:23 [ICE] SERIAL COM3 OPEN FAIL
2023-08-31 18:12:23 [ICE] SERIAL COM4 OPEN FAIL
2023-08-31 18:12:23 [BARCODE] SERIAL COM1 OPEN FAIL
2023-08-31 18:12:25 [ICE] SERIAL COM3 OPEN FAIL
2023-08-31 18:12:25 [ICE] SERIAL COM4 OPEN FAIL
2023-08-31 18:12:26 [BARCODE] SERIAL COM1 OPEN FAIL
2023-08-31 18:12:28 [ICE] SERIAL COM3 OPEN FAIL
2023-08-31 18:12:28 [ICE] SERIAL COM4 OPEN FAIL
2023-08-31 18:12:28 [BARCODE] SERIAL COM1 OPEN FAIL
2023-08-31 18:12:30 [USER INPUT] EXIT : TERMINATE PROGRAM
